Id,SalePrice
1461,143399.8977041287
1462,163482.05553369565
1463,196018.6290659875
1464,196231.44241696532
1465,191036.70198995096
1466,166593.10354163515
1467,172689.0165534615
1468,165470.11346080733
1469,188173.74666134996
1470,124337.73282471123
1471,181201.02573019278
1472,74292.93987025214
1473,86421.5159887773
1474,148567.6002930288
1475,113759.39030836383
1476,416474.0741682201
1477,276476.9666383276
1478,317887.4606073483
1479,307964.94164256117
1480,492535.6351140512
1481,353294.3800602035
1482,216554.30888278253
1483,192853.24300615265
1484,157219.95931481756
1485,174762.98472325382
1486,199340.47801213662
1487,341222.2234558102
1488,221176.82614360852
1489,221879.7948102893
1490,254111.16846147555
1491,191562.73828259215
1492,95241.40922224628
1493,191582.7346648555
1494,291291.13037768024
1495,299866.0488918915
1496,237538.21925294088
1497,188283.44741733404
1498,162187.74279046038
1499,161302.45864019237
1500,153038.45728509108
1501,194203.29675250087
1502,141963.20168802742
1503,301293.5247381966
1504,246211.02904404348
1505,211857.39617420273
1506,195318.37427703
1507,244832.23099658292
1508,207370.31116837577
1509,164858.24168748167
1510,145689.6299967673
1511,142952.62329102185
1512,170890.7831792696
1513,149581.8895828182
1514,176815.74498575923
1515,221810.7772870406
1516,152058.60156579866
1517,173503.0618356384
1518,134766.67677619288
1519,213750.59688212685
1520,127008.18729184945
1521,138495.12252328318
1522,175934.5854332121
1523,108868.29864058606
1524,124142.88198454361
1525,124368.78572492144
1526,109982.38088140932
1527,101442.1190515991
1528,140381.75126995455
1529,132320.44179146024
1530,174578.2382788939
1531,97647.59144036865
1532,97380.27220190738
1533,138024.28828685885
1534,130654.7348092275
1535,183743.51813933268
1536,113837.68527371089
1537,88937.28617237126
1538,189016.83317120958
1539,209693.37825382233
1540,133017.38198253562
1541,166262.72486717647
1542,127135.09679274376
1543,205528.0808838836
1544,68048.87799480674
1545,117119.96925104347
1546,120910.95974978435
1547,132664.463629921
1548,128193.64018697705
1549,99731.70230534745
1550,132017.24029036672
